wR,wL
0.0,0.0
-0.0004886921905584122,-0.0004886921905584122
-0.0009773843811168245,-0.0009773843811168245
-0.0014660765716752368,-0.0014660765716752368
-0.001954768762233649,-0.001954768762233649
-0.0024434609527920616,-0.0024434609527920616
-0.0029321531433504737,-0.0029321531433504737
-0.003420845333908886,-0.003420845333908886
-0.003909537524467298,-0.003909537524467298
-0.0043982297150257105,-0.0043982297150257105
-0.004886921905584123,-0.004886921905584123
-0.005375614096142536,-0.005375614096142536
-0.005864306286700949,-0.005864306286700949
-0.006352998477259362,-0.006352998477259362
-0.006841690667817774,-0.006841690667817774
-0.007330382858376187,-0.007330382858376187
-0.0078190750489346,-0.0078190750489346
-0.008307767239493013,-0.008307767239493013
-0.008796459430051425,-0.008796459430051425
-0.009285151620609838,-0.009285151620609838
-0.00977384381116825,-0.00977384381116825
-0.010262536001726663,-0.010262536001726663
-0.010751228192285077,-0.010751228192285077
-0.011239920382843488,-0.011239920382843488
-0.0117286125734019,-0.0117286125734019
-0.012217304763960313,-0.012217304763960313
-0.012705996954518725,-0.012705996954518725
-0.013194689145077139,-0.013194689145077139
-0.01368338133563555,-0.01368338133563555
-0.014172073526193965,-0.014172073526193965
-0.014660765716752375,-0.014660765716752375
-0.01514945790731079,-0.01514945790731079
-0.015638150097869202,-0.015638150097869202
-0.016126842288427614,-0.016126842288427614
-0.016615534478986026,-0.016615534478986026
-0.01710422666954444,-0.01710422666954444
-0.017592918860102853,-0.017592918860102853
-0.018081611050661268,-0.018081611050661268
-0.01857030324121968,-0.01857030324121968
-0.01905899543177809,-0.01905899543177809
-0.019547687622336503,-0.019547687622336503
-0.020036379812894918,-0.020036379812894918
-0.02052507200345333,-0.02052507200345333
-0.02101376419401174,-0.02101376419401174
-0.021502456384570153,-0.021502456384570153
-0.02199114857512857,-0.02199114857512857
-0.022479840765686984,-0.022479840765686984
-0.022968532956245395,-0.022968532956245395
-0.023457225146803803,-0.023457225146803803
-0.023945917337362215,-0.023945917337362215
-0.024434609527920634,-0.024434609527920634
-0.024923301718479045,-0.024923301718479045
-0.025411993909037457,-0.025411993909037457
-0.02590068609959587,-0.02590068609959587
-0.026389378290154284,-0.026389378290154284
-0.026878070480712696,-0.026878070480712696
-0.027366762671271107,-0.027366762671271107
-0.02785545486182952,-0.02785545486182952
-0.028344147052387934,-0.028344147052387934
-0.028832839242946346,-0.028832839242946346
-0.029321531433504758,-0.029321531433504758
-0.02981022362406317,-0.02981022362406317
-0.030298915814621585,-0.030298915814621585
-0.030787608005179993,-0.030787608005179993
-0.031276300195738405,-0.031276300195738405
-0.03176499238629682,-0.03176499238629682
-0.03225368457685523,-0.03225368457685523
-0.03274237676741364,-0.03274237676741364
-0.03323106895797205,-0.03323106895797205
-0.033719761148530474,-0.033719761148530474
-0.03420845333908888,-0.03420845333908888
-0.0346971455296473,-0.0346971455296473
-0.035185837720205705,-0.035185837720205705
-0.03567452991076412,-0.03567452991076412
-0.036163222101322536,-0.036163222101322536
-0.036651914291880944,-0.036651914291880944
-0.03714060648243936,-0.03714060648243936
-0.037629298672997774,-0.037629298672997774
-0.03811799086355618,-0.03811799086355618
-0.0386066830541146,-0.0386066830541146
-0.039095375244673006,-0.039095375244673006
-0.03958406743523142,-0.03958406743523142
-0.040072759625789836,-0.040072759625789836
-0.040561451816348244,-0.040561451816348244
-0.04105014400690666,-0.04105014400690666
-0.041538836197465075,-0.041538836197465075
-0.04202752838802348,-0.04202752838802348
-0.0425162205785819,-0.0425162205785819
-0.043004912769140306,-0.043004912769140306
-0.04349360495969872,-0.04349360495969872
-0.04398229715025714,-0.04398229715025714
-0.044470989340815545,-0.044470989340815545
-0.04495968153137397,-0.04495968153137397
-0.045448373721932375,-0.045448373721932375
-0.04593706591249079,-0.04593706591249079
-0.0464257581030492,-0.0464257581030492
