wR,wL
0.0,0.0
-0.010471975511965976,-0.010471975511965976
-0.020943951023931952,-0.020943951023931952
-0.031415926535897934,-0.031415926535897934
-0.041887902047863905,-0.041887902047863905
-0.05235987755982988,-0.05235987755982988
-0.06283185307179587,-0.06283185307179587
-0.07330382858376185,-0.07330382858376185
-0.08377580409572781,-0.08377580409572781
-0.09424777960769379,-0.09424777960769379
-0.1047197551196598,-0.1047197551196598
-0.11519173063162577,-0.11519173063162577
-0.12566370614359176,-0.12566370614359176
-0.13613568165555773,-0.13613568165555773
-0.14660765716752375,-0.14660765716752375
-0.1570796326794897,-0.1570796326794897
-0.1675516081914557,-0.1675516081914557
-0.1780235837034217,-0.1780235837034217
-0.18849555921538771,-0.18849555921538771
-0.19896753472735365,-0.19896753472735365
-0.20943951023931967,-0.20943951023931967
-0.2199114857512856,-0.2199114857512856
-0.23038346126325165,-0.23038346126325165
-0.24085543677521762,-0.24085543677521762
-0.2513274122871836,-0.2513274122871836
-0.2617993877991496,-0.2617993877991496
-0.2722713633111156,-0.2722713633111156
-0.28274333882308156,-0.28274333882308156
-0.29321531433504755,-0.29321531433504755
-0.30368728984701354,-0.30368728984701354
-0.31415926535897953,-0.31415926535897953
-0.3246312408709455,-0.3246312408709455
-0.3351032163829115,-0.3351032163829115
-0.3455751918948775,-0.3455751918948775
-0.3560471674068434,-0.3560471674068434
-0.36651914291880944,-0.36651914291880944
-0.37699111843077543,-0.37699111843077543
-0.3874630939427414,-0.3874630939427414
-0.3979350694547074,-0.3979350694547074
-0.40840704496667335,-0.40840704496667335
-0.4188790204786394,-0.4188790204786394
-0.42935099599060533,-0.42935099599060533
-0.4398229715025713,-0.4398229715025713
-0.4502949470145374,-0.4502949470145374
-0.4607669225265033,-0.4607669225265033
-0.47123889803846936,-0.47123889803846936
-0.4817108735504353,-0.4817108735504353
-0.4921828490624013,-0.4921828490624013
-0.5026548245743673,-0.5026548245743673
-0.5131268000863333,-0.5131268000863333
-0.5235987755982993,-0.5235987755982993
-0.5340707511102653,-0.5340707511102653
-0.5445427266222312,-0.5445427266222312
-0.5550147021341972,-0.5550147021341972
-0.5654866776461632,-0.5654866776461632
-0.5759586531581292,-0.5759586531581292
-0.5864306286700951,-0.5864306286700951
-0.5969026041820611,-0.5969026041820611
-0.6073745796940271,-0.6073745796940271
-0.6178465552059932,-0.6178465552059932
-0.6283185307179591,-0.6283185307179591
-0.6387905062299252,-0.6387905062299252
-0.649262481741891,-0.649262481741891
-0.6597344572538569,-0.6597344572538569
-0.670206432765823,-0.670206432765823
-0.680678408277789,-0.680678408277789
-0.691150383789755,-0.691150383789755
-0.7016223593017209,-0.7016223593017209
-0.7120943348136868,-0.7120943348136868
-0.7225663103256529,-0.7225663103256529
-0.7330382858376189,-0.7330382858376189
-0.743510261349585,-0.743510261349585
-0.7539822368615509,-0.7539822368615509
-0.7644542123735169,-0.7644542123735169
-0.7749261878854828,-0.7749261878854828
-0.7853981633974487,-0.7853981633974487
-0.7958701389094148,-0.7958701389094148
-0.8063421144213808,-0.8063421144213808
-0.8168140899333467,-0.8168140899333467
-0.8272860654453128,-0.8272860654453128
-0.8377580409572788,-0.8377580409572788
-0.8482300164692448,-0.8482300164692448
-0.8587019919812107,-0.8587019919812107
-0.8691739674931765,-0.8691739674931765
-0.8796459430051426,-0.8796459430051426
-0.8901179185171086,-0.8901179185171086
-0.9005898940290747,-0.9005898940290747
-0.9110618695410407,-0.9110618695410407
-0.9215338450530066,-0.9215338450530066
-0.9320058205649726,-0.9320058205649726
-0.9424777960769387,-0.9424777960769387
-0.9529497715889046,-0.9529497715889046
-0.9634217471008706,-0.9634217471008706
-0.9738937226128367,-0.9738937226128367
-0.9843656981248026,-0.9843656981248026
-0.9948376736367686,-0.9948376736367686
-1.0053096491487346,-1.0053096491487346
-1.0157816246607005,-1.0157816246607005
-1.0262536001726665,-1.0262536001726665
-1.0367255756846323,-1.0367255756846323
-1.0471975511965985,-1.0471975511965985
-1.0576695267085645,-1.0576695267085645
-1.0681415022205305,-1.0681415022205305
-1.0786134777324965,-1.0786134777324965
-1.0890854532444625,-1.0890854532444625
-1.0995574287564285,-1.0995574287564285
-1.1100294042683945,-1.1100294042683945
-1.1205013797803605,-1.1205013797803605
-1.1309733552923265,-1.1309733552923265
-1.1414453308042922,-1.1414453308042922
-1.1519173063162584,-1.1519173063162584
-1.1623892818282244,-1.1623892818282244
-1.1728612573401902,-1.1728612573401902
-1.1833332328521564,-1.1833332328521564
-1.1938052083641222,-1.1938052083641222
-1.2042771838760884,-1.2042771838760884
-1.2147491593880542,-1.2147491593880542
-1.2252211349000204,-1.2252211349000204
-1.2356931104119864,-1.2356931104119864
-1.2461650859239521,-1.2461650859239521
-1.2566370614359181,-1.2566370614359181
-1.2671090369478841,-1.2671090369478841
-1.2775810124598503,-1.2775810124598503
-1.288052987971816,-1.288052987971816
-1.298524963483782,-1.298524963483782
-1.308996938995748,-1.308996938995748
-1.3194689145077139,-1.3194689145077139
-1.3299408900196799,-1.3299408900196799
-1.340412865531646,-1.340412865531646
-1.3508848410436118,-1.3508848410436118
-1.361356816555578,-1.361356816555578
-1.371828792067544,-1.371828792067544
-1.38230076757951,-1.38230076757951
-1.3927727430914758,-1.3927727430914758
-1.4032447186034418,-1.4032447186034418
-1.413716694115408,-1.413716694115408
-1.4241886696273736,-1.4241886696273736
-1.4346606451393398,-1.4346606451393398
-1.4451326206513058,-1.4451326206513058
-1.455604596163272,-1.455604596163272
-1.4660765716752377,-1.4660765716752377
-1.476548547187204,-1.476548547187204
-1.48702052269917,-1.48702052269917
-1.4974924982111357,-1.4974924982111357
-1.5079644737231017,-1.5079644737231017
-1.5184364492350675,-1.5184364492350675
-1.5289084247470337,-1.5289084247470337
-1.5393804002589997,-1.5393804002589997
-1.5498523757709657,-1.5498523757709657
-1.5603243512829317,-1.5603243512829317
-1.5707963267948974,-1.5707963267948974
-1.5812683023068637,-1.5812683023068637
-1.5917402778188297,-1.5917402778188297
-1.6022122533307959,-1.6022122533307959
-1.6126842288427616,-1.6126842288427616
-1.6231562043547276,-1.6231562043547276
-1.6336281798666934,-1.6336281798666934
-1.6441001553786596,-1.6441001553786596
-1.6545721308906256,-1.6545721308906256
-1.6650441064025914,-1.6650441064025914
-1.6755160819145576,-1.6755160819145576
-1.6859880574265236,-1.6859880574265236
