wR,wL
0.0,0.0
-0.006283185307179587,-0.006283185307179587
-0.012566370614359173,-0.012566370614359173
-0.01884955592153876,-0.01884955592153876
-0.025132741228718346,-0.025132741228718346
-0.031415926535897934,-0.031415926535897934
-0.03769911184307752,-0.03769911184307752
-0.0439822971502571,-0.0439822971502571
-0.05026548245743669,-0.05026548245743669
-0.056548667764616284,-0.056548667764616284
-0.06283185307179587,-0.06283185307179587
-0.06911503837897547,-0.06911503837897547
-0.07539822368615505,-0.07539822368615505
-0.08168140899333465,-0.08168140899333465
-0.08796459430051425,-0.08796459430051425
-0.09424777960769383,-0.09424777960769383
-0.10053096491487343,-0.10053096491487343
-0.10681415022205301,-0.10681415022205301
-0.11309733552923261,-0.11309733552923261
-0.1193805208364122,-0.1193805208364122
-0.1256637061435918,-0.1256637061435918
-0.13194689145077138,-0.13194689145077138
-0.13823007675795096,-0.13823007675795096
-0.14451326206513057,-0.14451326206513057
-0.15079644737231016,-0.15079644737231016
-0.15707963267948977,-0.15707963267948977
-0.16336281798666935,-0.16336281798666935
-0.16964600329384893,-0.16964600329384893
-0.17592918860102855,-0.17592918860102855
-0.1822123739082081,-0.1822123739082081
-0.18849555921538771,-0.18849555921538771
-0.1947787445225673,-0.1947787445225673
-0.20106192982974694,-0.20106192982974694
-0.20734511513692647,-0.20734511513692647
-0.2136283004441061,-0.2136283004441061
-0.21991148575128566,-0.21991148575128566
-0.22619467105846527,-0.22619467105846527
-0.23247785636564483,-0.23247785636564483
-0.23876104167282447,-0.23876104167282447
-0.24504422698000403,-0.24504422698000403
-0.25132741228718364,-0.25132741228718364
-0.2576105975943632,-0.2576105975943632
-0.2638937829015428,-0.2638937829015428
-0.2701769682087224,-0.2701769682087224
-0.27646015351590203,-0.27646015351590203
-0.2827433388230816,-0.2827433388230816
-0.2890265241302612,-0.2890265241302612
-0.2953097094374408,-0.2953097094374408
-0.3015928947446203,-0.3015928947446203
-0.3078760800518,-0.3078760800518
-0.31415926535897953,-0.31415926535897953
-0.3204424506661591,-0.3204424506661591
-0.3267256359733387,-0.3267256359733387
-0.33300882128051834,-0.33300882128051834
-0.3392920065876979,-0.3392920065876979
-0.3455751918948775,-0.3455751918948775
-0.3518583772020571,-0.3518583772020571
-0.35814156250923673,-0.35814156250923673
-0.3644247478164163,-0.3644247478164163
-0.3707079331235959,-0.3707079331235959
-0.37699111843077543,-0.37699111843077543
-0.38327430373795507,-0.38327430373795507
-0.38955748904513465,-0.38955748904513465
-0.3958406743523142,-0.3958406743523142
-0.4021238596594939,-0.4021238596594939
-0.40840704496667335,-0.40840704496667335
-0.41469023027385293,-0.41469023027385293
-0.4209734155810325,-0.4209734155810325
-0.4272566008882122,-0.4272566008882122
-0.43353978619539174,-0.43353978619539174
-0.4398229715025713,-0.4398229715025713
-0.4461061568097509,-0.4461061568097509
-0.45238934211693055,-0.45238934211693055
-0.4586725274241102,-0.4586725274241102
-0.46495571273128966,-0.46495571273128966
-0.47123889803846924,-0.47123889803846924
-0.47752208334564894,-0.47752208334564894
-0.4838052686528285,-0.4838052686528285
-0.49008845396000805,-0.49008845396000805
-0.49637163926718764,-0.49637163926718764
-0.5026548245743673,-0.5026548245743673
-0.5089380098815469,-0.5089380098815469
-0.5152211951887264,-0.5152211951887264
-0.521504380495906,-0.521504380495906
-0.5277875658030856,-0.5277875658030856
-0.5340707511102653,-0.5340707511102653
-0.5403539364174448,-0.5403539364174448
-0.5466371217246243,-0.5466371217246243
-0.5529203070318041,-0.5529203070318041
-0.5592034923389835,-0.5592034923389835
-0.5654866776461632,-0.5654866776461632
-0.5717698629533428,-0.5717698629533428
-0.5780530482605224,-0.5780530482605224
-0.5843362335677019,-0.5843362335677019
-0.5906194188748816,-0.5906194188748816
-0.5969026041820611,-0.5969026041820611
-0.6031857894892406,-0.6031857894892406
-0.6094689747964203,-0.6094689747964203
-0.6157521601036,-0.6157521601036
-0.6220353454107795,-0.6220353454107795
-0.6283185307179591,-0.6283185307179591
-0.6346017160251387,-0.6346017160251387
-0.6408849013323182,-0.6408849013323182
-0.6471680866394979,-0.6471680866394979
-0.6534512719466774,-0.6534512719466774
-0.6597344572538569,-0.6597344572538569
-0.6660176425610367,-0.6660176425610367
-0.6723008278682163,-0.6723008278682163
-0.6785840131753959,-0.6785840131753959
-0.6848671984825754,-0.6848671984825754
-0.691150383789755,-0.691150383789755
-0.6974335690969345,-0.6974335690969345
-0.7037167544041142,-0.7037167544041142
-0.7099999397112937,-0.7099999397112937
-0.7162831250184735,-0.7162831250184735
-0.722566310325653,-0.722566310325653
-0.7288494956328326,-0.7288494956328326
-0.7351326809400122,-0.7351326809400122
-0.7414158662471918,-0.7414158662471918
-0.7476990515543714,-0.7476990515543714
-0.7539822368615509,-0.7539822368615509
-0.7602654221687304,-0.7602654221687304
-0.7665486074759101,-0.7665486074759101
-0.7728317927830898,-0.7728317927830898
-0.7791149780902693,-0.7791149780902693
-0.7853981633974487,-0.7853981633974487
-0.7916813487046284,-0.7916813487046284
-0.797964534011808,-0.797964534011808
-0.8042477193189878,-0.8042477193189878
-0.8105309046261672,-0.8105309046261672
-0.8168140899333467,-0.8168140899333467
-0.8230972752405263,-0.8230972752405263
-0.8293804605477059,-0.8293804605477059
-0.8356636458548855,-0.8356636458548855
-0.841946831162065,-0.841946831162065
-0.8482300164692447,-0.8482300164692447
-0.8545132017764244,-0.8545132017764244
-0.8607963870836041,-0.8607963870836041
-0.8670795723907835,-0.8670795723907835
-0.873362757697963,-0.873362757697963
-0.8796459430051426,-0.8796459430051426
-0.8859291283123222,-0.8859291283123222
-0.8922123136195018,-0.8922123136195018
-0.8984954989266813,-0.8984954989266813
-0.9047786842338611,-0.9047786842338611
-0.9110618695410407,-0.9110618695410407
-0.9173450548482204,-0.9173450548482204
-0.9236282401553998,-0.9236282401553998
-0.9299114254625793,-0.9299114254625793
-0.936194610769759,-0.936194610769759
-0.9424777960769385,-0.9424777960769385
-0.9487609813841181,-0.9487609813841181
-0.9550441666912979,-0.9550441666912979
-0.9613273519984774,-0.9613273519984774
-0.967610537305657,-0.967610537305657
-0.9738937226128367,-0.9738937226128367
-0.9801769079200161,-0.9801769079200161
-0.9864600932271956,-0.9864600932271956
-0.9927432785343753,-0.9927432785343753
-0.9990264638415548,-0.9990264638415548
-1.0053096491487346,-1.0053096491487346
-1.0115928344559142,-1.0115928344559142
-1.0178760197630938,-1.0178760197630938
-1.0241592050702732,-1.0241592050702732
-1.0304423903774529,-1.0304423903774529
-1.0367255756846323,-1.0367255756846323
-1.043008760991812,-1.043008760991812
-1.0492919462989916,-1.0492919462989916
-1.0555751316061712,-1.0555751316061712
-1.0618583169133509,-1.0618583169133509
-1.0681415022205305,-1.0681415022205305
-1.0744246875277101,-1.0744246875277101
-1.0807078728348896,-1.0807078728348896
-1.0869910581420692,-1.0869910581420692
-1.0932742434492486,-1.0932742434492486
-1.0995574287564283,-1.0995574287564283
-1.1058406140636081,-1.1058406140636081
-1.1121237993707875,-1.1121237993707875
-1.118406984677967,-1.118406984677967
-1.1246901699851466,-1.1246901699851466
-1.1309733552923265,-1.1309733552923265
-1.1372565405995059,-1.1372565405995059
