Trace Path1,
X(in), Y(in)
500,500
500.0001828,499.9998765
500.0006206,499.9997064
500.0007227,499.9993556
500.001184,500.0003761
500.001184,500.0003759
500.0024791,499.9931896
500.0033762,499.9913497
500.003457,499.9919905
500.0037984,499.9915689
500.0037983,499.9915692
500.0048226,499.9944461
500.0051154,499.9944954
500.0052763,499.9945534
500.0056755,499.9970183
500.0056793,499.9969762
500.0058585,499.9967178
500.0060535,499.9966224
500.0073393,499.9917439
500.0077231,499.9907715
500.0077215,499.9907713
500.0088389,499.9932687
500.0098671,499.9916622
500.0110012,499.9887987
500.011759,499.9879755
500.0117595,499.9879785
500.0118549,499.9889039
500.0120363,499.9912092
500.0123419,499.9911442
500.0097241,500.0003046
500.0097229,500.0003071
500.0104668,500.0000437
500.0104391,500.0029543
500.0108281,500.0042141
500.0108049,500.0059634
500.0108034,500.0059668
500.0115609,500.0063074
500.0122508,500.0059701
500.0135892,500.0038886
500.0147972,500.0029941
500.0148125,500.0029879
500.016296,500.0019844
500.0170127,500.0024324
500.0176935,500.0016237
500.0179084,500.0025393
500.0180142,500.0024005
500.0138217,500.0089594
500.014396,500.0113342
500.0149247,500.0115043
500.0142311,500.014476
500.0140281,500.0148853
500.0138817,500.0198882
500.0177575,500.0159717
500.0178311,500.01694
500.0187994,500.0173681
500.0187395,500.0174853
500.0213611,500.0160597
500.0081869,500.031003
500.0211789,500.0201768
500.0185334,500.0263622
500.0187311,500.0263934
500.0215354,500.0241847
500.0311073,500.0181563
500.0323988,500.0187093
500.0357936,500.0173374
500.0357827,500.0173384
500.0313466,500.0188631
500.0315448,500.0213664
500.0338949,500.0223659
500.0360417,500.0222788
500.0360081,500.0223012
500.0342576,500.0243802
500.0340991,500.0257768
500.0348379,500.0260551
500.0331825,500.0294601
500.0335819,500.0293446
500.0341389,500.0298151
500.0325414,500.0312942
500.0329546,500.0314089
500.0320853,500.0325422
500.0321284,500.032543
500.033861,500.0328662
500.0361917,500.0336776
500.0367201,500.0338022
500.0388275,500.0334644
500.0392265,500.0334504
500.0378322,500.0342323
500.0383971,500.0345807
500.0383845,500.0348029
500.0394881,500.0351135
500.0395019,500.0351144
500.0393064,500.0353469
500.0387077,500.035793
500.0372874,500.0365481
500.0377298,500.0369699
500.0377075,500.0369787
500.0364768,500.037912
500.0376462,500.0386724
500.0405143,500.0393616
500.0401656,500.0399586
500.0401756,500.0399522
500.0402321,500.040123
500.038853,500.0409831
500.0375197,500.0418227
500.0354574,500.042741
500.035859,500.0428215
500.0358796,500.0429964
500.0364031,500.0434655
500.0345689,500.0437029
500.0310695,500.0444572
500.0309349,500.0444965
500.0294847,500.0446159
500.0276892,500.0452846
500.0243261,500.0456285
500.0244878,500.0460028
500.0244932,500.0460099
500.0241179,500.0464292
500.0238478,500.0469515
500.0198051,500.0478471
500.0212911,500.0486694
500.0212936,500.048666
500.0172539,500.0483941
500.015453,500.0490612
499.9950314,500.0481855
499.9905596,500.047705
499.990885,500.0476178
499.9966332,500.0340697
500.0011843,499.9946868
500.0073932,499.9322551
500.014724,499.845422
500.0143815,499.840819
500.0437917,499.7257864
500.0551368,499.5819016
500.07623,499.4127611
500.1004578,499.2270406
500.1015206,499.2176311
500.1225722,498.9971448
500.1548008,498.7498646
500.2191307,498.4841261
500.2597426,498.2001352
500.2618888,498.1854817
500.3144625,497.8619869
500.3875072,497.5168419
500.4575607,497.1443304
500.5330317,496.7668774
500.5374664,496.746829
500.6281253,496.3241879
500.7326256,495.8778752
500.8484332,495.4078033
500.9731847,494.9395454
500.9800317,494.9143272
501.132636,494.3998605
501.3027555,493.8632953
501.4900083,493.3043353
501.6904739,492.7574523
501.7019118,492.7269398
501.9347076,492.1282663
502.1980921,491.517972
502.4821722,490.8848024
502.7760677,490.2710915
502.7935083,490.2356067
503.1370505,489.576589
503.5101534,488.9105875
503.9106118,488.2381029
504.3090521,487.6008285
504.3345066,487.5618312
504.8074411,486.85716
505.314337,486.1446076
505.8640509,485.4303051
506.4157232,484.7553005
506.4511353,484.7136275
507.0856838,484.0057517
507.7578451,483.2886219
508.4768154,482.5831146
509.1930672,481.930196
509.2416015,481.8887369
510.0523997,481.2071588
510.9115266,480.5431599
511.81719,479.8980313
512.711376,479.3161479
512.7722112,479.2783716
513.7753871,478.6869052
514.8273224,478.1286838
515.9263269,477.6071441
516.9977584,477.1589401
517.0736957,477.1287056
